id,carTypeId,model,year,manufacturer,milleage,status,storeId,description,photoPath,fuelType,latitude,longitude
"1",18,Durango,1952,Dodge,78601,avaliable,12,"""A standard elite SUV rental provides plenty of room for passengers and luggage. SUVs are great for business",\resources\carimages\premium_crossover_suv.png,gas,43.7795002,-79.309002
"2",14,Edge,1970,Ford,63723,avaliable,12,A standard SUV rental provides plenty of room for passengers and luggage. SUVs are great for business,\resources\carimages\standard_suv.png,gas,43.7795002,-79.309002
"3",11,XTS,1938,Cadillac,77648,avaliable,19,Relax on the road with a luxury rental car from Enterprise Rent-A-Car. Luxury car rentals include leather seats,\resources\carimages\luxury_car.png,gas,46.7774013,-71.1837802
"4",11,XTS,1927,Cadillac,24584,reserved,14,Relax on the road with a luxury rental car from Enterprise Rent-A-Car. Luxury car rentals include leather seats,\resources\carimages\luxury_car.png,gas,43.7938305,-79.5169511
"5",21,F150 Super Crew,1915,Ford,49711,renting,12,Need to haul or move something? A pickup truck rental has the space,\resources\carimages\pickup_truck.png,hybrid,43.7795002,-79.309002
"6",22,Grand Caravan,1927,Dodge,53895,avaliable,18,A minivan rental is perfect for long road trips and family vacations with room for 7 people.,\resources\carimages\7_passenger_van.png,hybrid,46.8130945,-71.2360168
"7",11,XTS,1939,Cadillac,97488,avaliable,9,Relax on the road with a luxury rental car from Enterprise Rent-A-Car. Luxury car rentals include leather seats,\resources\carimages\luxury_car.png,gas,43.6653502,-79.4882599
"8",6,Countryman,1925,MINI,45869,avaliable,10,A Full-Size car rental is helpful when needing more passenger room and luggage space than a smaller call offers.,\resources\carimages\sporty_car.png,hybrid,43.7114079,-79.5377247
"9",14,Edge,1976,Ford,48581,avaliable,9,A standard SUV rental provides plenty of room for passengers and luggage. SUVs are great for business,\resources\carimages\standard_suv.png,gas,43.6653502,-79.4882599
"10",20,Colorado,1947,Chevy,34160,avaliable,10,A small pickup truck rental is great for hauling smaller items that won't fit in your own car.,\resources\carimages\small_pickup_truck.png,diesel,43.7114079,-79.5377247
"11",5,Malibu,2000,Chevrolet,24035,avaliable,11,A Full-Size car rental is helpful when needing more passenger room and luggage space than a smaller call offers.,\resources\carimages\fullsize_car.png,gas,43.7147304,-79.8032623
"12",1,Spark,1976,Chevrolet,57632,renting,9,An economy car for driving in crowded,\resources\carimages\economy_car.png,gas,43.6653502,-79.4882599
"13",10,Maxima,1962,Nissan,88393,reserved,20,A premium car rental offers comfortable seating with plenty of room in the trunk for luggage. A premium rental car is a great choice for a business travel or leisure.,\resources\carimages\premium_car.png,gas,43.7228203,-79.3062622
"14",21,F150 Super Crew,1940,Ford,64657,avaliable,7,Need to haul or move something? A pickup truck rental has the space,\resources\carimages\pickup_truck.png,hybrid,45.4884633,-73.6432817
"15",12,Qashqai,1986,Nissan,62872,reserved,4,An Intermediate SUV rental  provides plenty of room for 5 passengers but is compact enough to for high traffic driving.,\resources\carimages\compact_suv.png,gas,45.5070645,-73.5682808
"16",6,Countryman,1946,MINI,78545,avaliable,19,A Full-Size car rental is helpful when needing more passenger room and luggage space than a smaller call offers.,\resources\carimages\sporty_car.png,hybrid,46.7774013,-71.1837802
"17",15,Tahoe,1927,Chevrolet,30885,avaliable,20,A full-size SUV rental has room to seat up to seven people and offers a powerful engine. Full-size SUVs are great for weekend road trips and special occasions.,\resources\carimages\fullsize_suv.png,gas,43.7228203,-79.3062622
"18",7,Mustang,1950,Ford,91324,renting,12,A Full-Size car rental is helpful when needing more passenger room and luggage space than a smaller call offers.,\resources\carimages\convertible_car.png,gas,43.7795002,-79.309002
"19",20,Colorado,1995,Chevy,42190,avaliable,15,A small pickup truck rental is great for hauling smaller items that won't fit in your own car.,\resources\carimages\small_pickup_truck.png,diesel,45.448481,-73.4729835
"20",22,Grand Caravan,1930,Dodge,39042,renting,1,A minivan rental is perfect for long road trips and family vacations with room for 7 people.,\resources\carimages\7_passenger_van.png,hybrid,45.456,-73.8623
"21",19,Wrangler Unlimited,1996,Jeep,48642,avaliable,11,A standard elite SUV rental provides plenty of room for passengers and luggage. SUVs are great for business,\resources\carimages\jeep_4_door_suv.png,diesel,43.7147304,-79.8032623
"22",11,XTS,1981,Cadillac,33416,repair,5,Relax on the road with a luxury rental car from Enterprise Rent-A-Car. Luxury car rentals include leather seats,\resources\carimages\luxury_car.png,gas,45.5896979,-73.731631
"23",15,Tahoe,1950,Chevrolet,73566,avaliable,8,A full-size SUV rental has room to seat up to seven people and offers a powerful engine. Full-size SUVs are great for weekend road trips and special occasions.,\resources\carimages\fullsize_suv.png,gas,43.6777215,-79.6270084
"24",18,Durango,1971,Dodge,24185,reserved,14,A standard elite SUV rental provides plenty of room for passengers and luggage. SUVs are great for business,\resources\carimages\premium_crossover_suv.png,gas,43.7938305,-79.5169511
"25",19,Wrangler Unlimited,2008,Jeep,34177,avaliable,5,A standard elite SUV rental provides plenty of room for passengers and luggage. SUVs are great for business,\resources\carimages\jeep_4_door_suv.png,diesel,45.5896979,-73.731631
"26",13,Escape,2002,Ford,33810,avaliable,4,An Intermediate SUV rental  provides plenty of room for 5 passengers but is compact enough to for high traffic driving.,\resources\carimages\intermediate_suv.png,gas,45.5070645,-73.5682808
"27",23,Transit Cargo,1904,Ford,25665,reserved,8,Renting a cargo van is a great way to make small moves easy.,\resources\carimages\cargo_van.png,diesel,43.6777215,-79.6270084
"28",12,Qashqai,1981,Nissan,98711,reserved,18,An Intermediate SUV rental  provides plenty of room for 5 passengers but is compact enough to for high traffic driving.,\resources\carimages\compact_suv.png,gas,46.8130945,-71.2360168
"29",20,Colorado,1931,Chevy,32243,avaliable,7,A small pickup truck rental is great for hauling smaller items that won't fit in your own car.,\resources\carimages\small_pickup_truck.png,diesel,45.4884633,-73.6432817
"30",2,Accent,1904,Hyundai,52417,renting,7,Compact cars offer great gas mileage and the ease of driving and parking in high traffic areas.,\resources\carimages\compact_car.png,gas,45.4884633,-73.6432817
"31",22,Grand Caravan,1934,Dodge,76426,reserved,12,A minivan rental is perfect for long road trips and family vacations with room for 7 people.,\resources\carimages\7_passenger_van.png,hybrid,43.7795002,-79.309002
"32",3,Forte,1987,Kia,59918,repair,3,An intermediate car rental provides some more room for passengers and luggage than most smaller cars.,\resources\carimages\intermediate_car.png,gas,49.1967,123.1815
"33",16,Suburban,2010,Chevrolet,92685,repair,4,A standard elite SUV rental provides plenty of room for passengers and luggage. SUVs are great for business,\resources\carimages\premium_suv.png,gas,45.5070645,-73.5682808
"34",10,Maxima,1916,Nissan,45071,repair,15,A premium car rental offers comfortable seating with plenty of room in the trunk for luggage. A premium rental car is a great choice for a business travel or leisure.,\resources\carimages\premium_car.png,gas,45.448481,-73.4729835
"35",11,XTS,2017,Cadillac,69392,avaliable,17,Relax on the road with a luxury rental car from Enterprise Rent-A-Car. Luxury car rentals include leather seats,\resources\carimages\luxury_car.png,gas,45.6044119,-73.3229069
"36",12,Qashqai,2020,Nissan,56461,avaliable,8,An Intermediate SUV rental  provides plenty of room for 5 passengers but is compact enough to for high traffic driving.,\resources\carimages\compact_suv.png,gas,43.6777215,-79.6270084
"37",12,Qashqai,1956,Nissan,43078,avaliable,5,An Intermediate SUV rental  provides plenty of room for 5 passengers but is compact enough to for high traffic driving.,\resources\carimages\compact_suv.png,gas,45.5896979,-73.731631
"38",11,XTS,2004,Cadillac,22708,avaliable,1,Relax on the road with a luxury rental car from Enterprise Rent-A-Car. Luxury car rentals include leather seats,\resources\carimages\luxury_car.png,gas,45.456,-73.8623
"39",2,Accent,1914,Hyundai,37901,avaliable,5,Compact cars offer great gas mileage and the ease of driving and parking in high traffic areas.,\resources\carimages\compact_car.png,gas,45.5896979,-73.731631
"40",1,Spark,1993,Chevrolet,47733,renting,8,An economy car for driving in crowded,\resources\carimages\economy_car.png,gas,43.6777215,-79.6270084
"41",20,Colorado,2000,Chevy,66779,reserved,9,A small pickup truck rental is great for hauling smaller items that won't fit in your own car.,\resources\carimages\small_pickup_truck.png,diesel,43.6653502,-79.4882599
"42",7,Mustang,1988,Ford,67612,avaliable,6,A Full-Size car rental is helpful when needing more passenger room and luggage space than a smaller call offers.,\resources\carimages\convertible_car.png,gas,45.3629762,-73.8148386
"43",5,Malibu,2020,Chevrolet,24173,reserved,10,A Full-Size car rental is helpful when needing more passenger room and luggage space than a smaller call offers.,\resources\carimages\fullsize_car.png,gas,43.7114079,-79.5377247
"44",22,Grand Caravan,1990,Dodge,98763,renting,19,A minivan rental is perfect for long road trips and family vacations with room for 7 people.,\resources\carimages\7_passenger_van.png,hybrid,46.7774013,-71.1837802
"45",19,Wrangler Unlimited,1971,Jeep,32820,avaliable,6,A standard elite SUV rental provides plenty of room for passengers and luggage. SUVs are great for business,\resources\carimages\jeep_4_door_suv.png,diesel,45.3629762,-73.8148386
"46",13,Escape,1990,Ford,95682,renting,17,An Intermediate SUV rental  provides plenty of room for 5 passengers but is compact enough to for high traffic driving.,\resources\carimages\intermediate_suv.png,gas,45.6044119,-73.3229069
"47",22,Grand Caravan,1937,Dodge,61605,renting,3,A minivan rental is perfect for long road trips and family vacations with room for 7 people.,\resources\carimages\7_passenger_van.png,hybrid,49.1967,123.1815
"48",23,Transit Cargo,1909,Ford,50820,avaliable,9,Renting a cargo van is a great way to make small moves easy.,\resources\carimages\cargo_van.png,diesel,43.6653502,-79.4882599
"49",19,Wrangler Unlimited,1959,Jeep,34957,repair,9,A standard elite SUV rental provides plenty of room for passengers and luggage. SUVs are great for business,\resources\carimages\jeep_4_door_suv.png,diesel,43.6653502,-79.4882599
"50",12,Qashqai,2013,Nissan,48346,avaliable,1,An Intermediate SUV rental  provides plenty of room for 5 passengers but is compact enough to for high traffic driving.,\resources\carimages\compact_suv.png,gas,45.456,-73.8623
"51",21,F150 Super Crew,1950,Ford,38964,repair,11,Need to haul or move something? A pickup truck rental has the space,\resources\carimages\pickup_truck.png,hybrid,43.7147304,-79.8032623
"52",10,Maxima,1983,Nissan,45798,avaliable,4,A premium car rental offers comfortable seating with plenty of room in the trunk for luggage. A premium rental car is a great choice for a business travel or leisure.,\resources\carimages\premium_car.png,gas,45.5070645,-73.5682808
"53",19,Wrangler Unlimited,2004,Jeep,47714,avaliable,1,A standard elite SUV rental provides plenty of room for passengers and luggage. SUVs are great for business,\resources\carimages\jeep_4_door_suv.png,diesel,45.456,-73.8623
"54",13,Escape,1943,Ford,79124,avaliable,11,An Intermediate SUV rental  provides plenty of room for 5 passengers but is compact enough to for high traffic driving.,\resources\carimages\intermediate_suv.png,gas,43.7147304,-79.8032623
"55",23,Transit Cargo,1989,Ford,52342,avaliable,7,Renting a cargo van is a great way to make small moves easy.,\resources\carimages\cargo_van.png,diesel,45.4884633,-73.6432817
"56",11,XTS,1907,Cadillac,23862,repair,10,Relax on the road with a luxury rental car from Enterprise Rent-A-Car. Luxury car rentals include leather seats,\resources\carimages\luxury_car.png,gas,43.7114079,-79.5377247
"57",7,Mustang,1961,Ford,23965,avaliable,15,A Full-Size car rental is helpful when needing more passenger room and luggage space than a smaller call offers.,\resources\carimages\convertible_car.png,gas,45.448481,-73.4729835
"58",14,Edge,1986,Ford,72097,avaliable,13,A standard SUV rental provides plenty of room for passengers and luggage. SUVs are great for business,\resources\carimages\standard_suv.png,gas,43.8024045,-79.426192
"59",8,3 series,1930,BMW,81015,repair,14,A premium car rental offers comfortable seating with plenty of room in the trunk for luggage. A premium rental car is a great choice for a business travel or leisure.,\resources\carimages\fullsize_elite_car.png,gas,43.7938305,-79.5169511
"60",13,Escape,1992,Ford,22797,avaliable,1,An Intermediate SUV rental  provides plenty of room for 5 passengers but is compact enough to for high traffic driving.,\resources\carimages\intermediate_suv.png,gas,45.456,-73.8623
"61",21,F150 Super Crew,1917,Ford,98094,reserved,5,Need to haul or move something? A pickup truck rental has the space,\resources\carimages\pickup_truck.png,hybrid,45.5896979,-73.731631
"62",2,Accent,1917,Hyundai,44262,avaliable,11,Compact cars offer great gas mileage and the ease of driving and parking in high traffic areas.,\resources\carimages\compact_car.png,gas,43.7147304,-79.8032623
"63",5,Malibu,1910,Chevrolet,68421,avaliable,5,A Full-Size car rental is helpful when needing more passenger room and luggage space than a smaller call offers.,\resources\carimages\fullsize_car.png,gas,45.5896979,-73.731631
"64",23,Transit Cargo,2004,Ford,47906,avaliable,15,Renting a cargo van is a great way to make small moves easy.,\resources\carimages\cargo_van.png,diesel,45.448481,-73.4729835
"65",14,Edge,2002,Ford,43212,avaliable,13,A standard SUV rental provides plenty of room for passengers and luggage. SUVs are great for business,\resources\carimages\standard_suv.png,gas,43.8024045,-79.426192
"66",2,Accent,2007,Hyundai,79491,repair,6,Compact cars offer great gas mileage and the ease of driving and parking in high traffic areas.,\resources\carimages\compact_car.png,gas,45.3629762,-73.8148386
"67",10,Maxima,1979,Nissan,21505,avaliable,12,A premium car rental offers comfortable seating with plenty of room in the trunk for luggage. A premium rental car is a great choice for a business travel or leisure.,\resources\carimages\premium_car.png,gas,43.7795002,-79.309002
"68",20,Colorado,1902,Chevy,65273,avaliable,3,A small pickup truck rental is great for hauling smaller items that won't fit in your own car.,\resources\carimages\small_pickup_truck.png,diesel,49.1967,123.1815
"69",19,Wrangler Unlimited,1956,Jeep,25392,avaliable,16,A standard elite SUV rental provides plenty of room for passengers and luggage. SUVs are great for business,\resources\carimages\jeep_4_door_suv.png,diesel,45.5996667,-73.5590308
"70",2,Accent,1900,Hyundai,30178,avaliable,19,Compact cars offer great gas mileage and the ease of driving and parking in high traffic areas.,\resources\carimages\compact_car.png,gas,46.7774013,-71.1837802
"71",14,Edge,1996,Ford,59629,avaliable,18,A standard SUV rental provides plenty of room for passengers and luggage. SUVs are great for business,\resources\carimages\standard_suv.png,gas,46.8130945,-71.2360168
"72",8,3 series,1996,BMW,91638,reserved,13,A premium car rental offers comfortable seating with plenty of room in the trunk for luggage. A premium rental car is a great choice for a business travel or leisure.,\resources\carimages\fullsize_elite_car.png,gas,43.8024045,-79.426192
"73",12,Qashqai,1932,Nissan,73196,reserved,8,An Intermediate SUV rental  provides plenty of room for 5 passengers but is compact enough to for high traffic driving.,\resources\carimages\compact_suv.png,gas,43.6777215,-79.6270084
"74",14,Edge,1943,Ford,81009,avaliable,3,A standard SUV rental provides plenty of room for passengers and luggage. SUVs are great for business,\resources\carimages\standard_suv.png,gas,49.1967,123.1815
"75",2,Accent,1959,Hyundai,95794,avaliable,7,Compact cars offer great gas mileage and the ease of driving and parking in high traffic areas.,\resources\carimages\compact_car.png,gas,45.4884633,-73.6432817
"76",20,Colorado,1949,Chevy,73093,avaliable,6,A small pickup truck rental is great for hauling smaller items that won't fit in your own car.,\resources\carimages\small_pickup_truck.png,diesel,45.3629762,-73.8148386
"77",11,XTS,2014,Cadillac,57025,avaliable,17,Relax on the road with a luxury rental car from Enterprise Rent-A-Car. Luxury car rentals include leather seats,\resources\carimages\luxury_car.png,gas,45.6044119,-73.3229069
"78",2,Accent,1952,Hyundai,59334,avaliable,3,Compact cars offer great gas mileage and the ease of driving and parking in high traffic areas.,\resources\carimages\compact_car.png,gas,49.1967,123.1815
"79",7,Mustang,1915,Ford,59417,repair,5,A Full-Size car rental is helpful when needing more passenger room and luggage space than a smaller call offers.,\resources\carimages\convertible_car.png,gas,45.5896979,-73.731631
"80",23,Transit Cargo,1956,Ford,31196,repair,8,Renting a cargo van is a great way to make small moves easy.,\resources\carimages\cargo_van.png,diesel,43.6777215,-79.6270084
"81",6,Countryman,1992,MINI,26011,avaliable,13,A Full-Size car rental is helpful when needing more passenger room and luggage space than a smaller call offers.,\resources\carimages\sporty_car.png,hybrid,43.8024045,-79.426192
"82",14,Edge,1976,Ford,80177,avaliable,6,A standard SUV rental provides plenty of room for passengers and luggage. SUVs are great for business,\resources\carimages\standard_suv.png,gas,45.3629762,-73.8148386
"83",13,Escape,1955,Ford,92995,avaliable,17,An Intermediate SUV rental  provides plenty of room for 5 passengers but is compact enough to for high traffic driving.,\resources\carimages\intermediate_suv.png,gas,45.6044119,-73.3229069
"84",15,Tahoe,1998,Chevrolet,72060,reserved,12,A full-size SUV rental has room to seat up to seven people and offers a powerful engine. Full-size SUVs are great for weekend road trips and special occasions.,\resources\carimages\fullsize_suv.png,gas,43.7795002,-79.309002
"85",20,Colorado,1959,Chevy,46853,avaliable,14,A small pickup truck rental is great for hauling smaller items that won't fit in your own car.,\resources\carimages\small_pickup_truck.png,diesel,43.7938305,-79.5169511
"86",13,Escape,1943,Ford,89674,renting,11,An Intermediate SUV rental  provides plenty of room for 5 passengers but is compact enough to for high traffic driving.,\resources\carimages\intermediate_suv.png,gas,43.7147304,-79.8032623
"87",12,Qashqai,1956,Nissan,90541,renting,18,An Intermediate SUV rental  provides plenty of room for 5 passengers but is compact enough to for high traffic driving.,\resources\carimages\compact_suv.png,gas,46.8130945,-71.2360168
"88",19,Wrangler Unlimited,1938,Jeep,93957,reserved,8,A standard elite SUV rental provides plenty of room for passengers and luggage. SUVs are great for business,\resources\carimages\jeep_4_door_suv.png,diesel,43.6777215,-79.6270084
"89",7,Mustang,1909,Ford,43526,renting,10,A Full-Size car rental is helpful when needing more passenger room and luggage space than a smaller call offers.,\resources\carimages\convertible_car.png,gas,43.7114079,-79.5377247
"90",22,Grand Caravan,1981,Dodge,37246,repair,13,A minivan rental is perfect for long road trips and family vacations with room for 7 people.,\resources\carimages\7_passenger_van.png,hybrid,43.8024045,-79.426192
"91",8,3 series,1977,BMW,65604,reserved,8,A premium car rental offers comfortable seating with plenty of room in the trunk for luggage. A premium rental car is a great choice for a business travel or leisure.,\resources\carimages\fullsize_elite_car.png,gas,43.6777215,-79.6270084
"92",16,Suburban,2014,Chevrolet,25485,avaliable,3,A standard elite SUV rental provides plenty of room for passengers and luggage. SUVs are great for business,\resources\carimages\premium_suv.png,gas,49.1967,123.1815
"93",12,Qashqai,1917,Nissan,82680,reserved,10,An Intermediate SUV rental  provides plenty of room for 5 passengers but is compact enough to for high traffic driving.,\resources\carimages\compact_suv.png,gas,43.7114079,-79.5377247
"94",13,Escape,1943,Ford,77088,avaliable,16,An Intermediate SUV rental  provides plenty of room for 5 passengers but is compact enough to for high traffic driving.,\resources\carimages\intermediate_suv.png,gas,45.5996667,-73.5590308
"95",10,Maxima,2001,Nissan,69703,avaliable,20,A premium car rental offers comfortable seating with plenty of room in the trunk for luggage. A premium rental car is a great choice for a business travel or leisure.,\resources\carimages\premium_car.png,gas,43.7228203,-79.3062622
"96",22,Grand Caravan,1925,Dodge,73997,avaliable,3,A minivan rental is perfect for long road trips and family vacations with room for 7 people.,\resources\carimages\7_passenger_van.png,hybrid,49.1967,123.1815
"97",15,Tahoe,1906,Chevrolet,73860,reserved,12,A full-size SUV rental has room to seat up to seven people and offers a powerful engine. Full-size SUVs are great for weekend road trips and special occasions.,\resources\carimages\fullsize_suv.png,gas,43.7795002,-79.309002
"98",10,Maxima,2017,Nissan,36351,renting,7,A premium car rental offers comfortable seating with plenty of room in the trunk for luggage. A premium rental car is a great choice for a business travel or leisure.,\resources\carimages\premium_car.png,gas,45.4884633,-73.6432817
"99",19,Wrangler Unlimited,1946,Jeep,21275,avaliable,5,A standard elite SUV rental provides plenty of room for passengers and luggage. SUVs are great for business,\resources\carimages\jeep_4_door_suv.png,diesel,45.5896979,-73.731631
"100",12,Qashqai,2016,Nissan,34830,repair,8,An Intermediate SUV rental  provides plenty of room for 5 passengers but is compact enough to for high traffic driving.,\resources\carimages\compact_suv.png,gas,43.6777215,-79.6270084
